Activity,Type,Title,Option,Option,Option,Option,Option
Competition,,"STAT 303 Chapter 2: Project Environments, Packages, and File Paths",,,,,
Competition Poll,Multiple choice,"You want to run the shell command cd data, but the terminal prompt is >>>. What should you do first?",Type cd data after >>>,***Type exit() to return to the shell,Create another virtual environment,Restart the notebook kernel,
Competition Poll,Multiple choice,A terminal and a running notebook both start in stat303-setup. You run cd data only in the terminal. What happens?,Both working directories change to stat303-setup/data,The CSV file moves into the notebook folder,The terminal stays in stat303-setup until the notebook restarts,***Only the terminal working directory changes,
Competition Poll,Multiple choice,Two projects need incompatible versions of the same library. How do separate virtual environments help?,***Each project can keep its own compatible package versions,They make incompatible versions work together inside one environment,They force both projects to use the newest library version,They remove the need to install packages,
Competition Poll,Multiple choice,"On macOS, a terminal uses /course/A/.venv/bin/python, but the notebook uses /course/B/.venv/bin/python. A terminal package installation succeeds and the notebook import fails. What should you check first?",Whether both environments are named .venv,Whether the CSV is in the data folder,***Whether both use the intended project’s Python executable,Whether the notebook has been exported to HTML,
Competition Poll,Multiple choice,"In the project folder, python -m venv .venv succeeds using an installed Python. What should you expect?",It downloads the newest Python release and all course packages,***It creates an environment based on that Python; course packages still need installation,It copies every package from every other environment,It automatically makes all existing notebooks use the new environment,
Competition Poll,Multiple choice,Pandas is installed in the selected project environment. You restart the notebook kernel. What is normally needed before using pd again?,Create a new .venv folder,Install Pandas again,Copy Pandas into the notebook folder,***Rerun import pandas as pd,
Competition Poll,Multiple choice,You run %pip install seaborn in a VS Code notebook code cell. Which environment receives Seaborn?,***The environment used by the notebook’s selected kernel,Every Python environment on the computer,The environment used by any open terminal,The folder containing the CSV file,
Competition Poll,Multiple choice,A classmate has created and activated a new compatible environment and received your requirements.txt. Which command installs its listed packages?,python -m pip freeze,python -m venv requirements.txt,***python -m pip install -r requirements.txt,python requirements.txt,
Competition Poll,Multiple choice,"A project contains sibling folders notebooks and data. The CSV is in data. If the notebook’s current working directory is project/notebooks, which path reaches the CSV? Assume Path has been imported from pathlib.","Path(""data"") / ""station_readings.csv""","***Path("".."") / ""data"" / ""station_readings.csv""","Path(""notebooks"") / ""data"" / ""station_readings.csv""","Path(""station_readings.csv"")",
Competition Poll,Multiple choice,"For data_path = Path(""data"") / ""station_readings.csv"", resolve() displays an absolute path but is_file() returns False. What is the best next step?",Use resolve() again to create the missing CSV,Assume the file exists because the path is absolute,Reinstall Pandas before checking the folders,"***Check Path.cwd(), the filename, capitalization, and folder layout",
