Activity,Type,Title,Option,Option,Option,Option,Option
Competition,,STAT303 Chapter 1: Jupyter Notebooks in VS Code,,,,,
Competition Poll,Multiple choice,"In the STAT303 workflow, which tool actually executes the Python code in a notebook?",The VS Code Explorer,***The selected Python kernel,The Quarto application,The notebook’s HTML report,
Competition Poll,Multiple choice,You have downloaded setup-practice.zip. How should you start working with its notebooks in VS Code?,Open activity01.ipynb inside the ZIP viewer.,Move activity01.ipynb to a new folder without the other kit files.,Open the ZIP file as the project folder.,***Extract the ZIP and open the stat303-setup folder.,
Competition Poll,Multiple choice,Which pair of Microsoft extensions does Chapter 1 ask you to enable for Python notebooks in VS Code?,***Python and Jupyter,Python and Quarto,Jupyter and Quarto,Python and GitHub Copilot,
Competition Poll,Multiple choice,Two installed environments have similar “Python 3” labels. Which notebook code best identifies the Python executable used by the current kernel?,"import sys
print(sys.version)","print(""Python 3"")","***import sys
print(sys.executable)",print(2 + 3),
Competition Poll,Multiple choice,Your mean calculation runs correctly. You want to add a heading and a paragraph explaining the result in the report. Where should you write them?,***In a Markdown cell near the calculation,In a Raw cell alongside the report settings,At the terminal prompt after rendering,In the notebook kernel picker,
Competition Poll,Multiple choice,"In a Python notebook, you ran x = 8 and then deleted that cell. A remaining cell contains print(x + 2). No other cell defines x. What happens when you run the remaining cell now, then restart the kernel and run it again?",It prints 10 both times.,It raises NameError both times.,"It raises NameError first, then prints 10.","***It prints 10 first, then raises NameError.",
Competition Poll,Multiple choice,"In the VS Code terminal, quarto --version prints a version number. The Quarto VS Code extension is not installed. What does this tell you about rendering from the terminal?",You must install the extension before quarto render can work.,***The terminal can find Quarto; the extension is optional for rendering.,The notebook has already been rerun successfully.,The notebook kernel must use the same Python as the terminal.,
Competition Poll,Multiple choice,"The supplied notebook starts with YAML settings for title, author, and HTML output. You need to put your name on the report. What should you do?",Move the settings into a Code cell and run them.,Replace the settings with a Markdown heading containing your name.,"***Edit author in the existing Raw cell, preserving indentation and the --- lines.",Type author: followed by your name in the terminal.,
Competition Poll,Multiple choice,"A saved notebook shows an old result. You change its calculation, save without rerunning, and successfully render the .ipynb using the chapter’s default Quarto workflow. Which conclusion is justified?",***The HTML may still show the old result because rendering normally uses saved outputs.,The successful render proves that the edited calculation ran correctly.,Saving automatically updates the output to match the edited calculation.,Quarto checks that every saved output matches its current code before rendering.,
Competition Poll,Multiple choice,Your report uses embed-resources: true. A copy of only the HTML opens in another folder with its ordinary figures and formatting intact. What has this check established?,The HTML contains the input CSV files needed to rerun the analysis.,"***The copied HTML carries the ordinary display resources checked, but you should keep the notebook and data for future work.",The HTML contains the Python environment needed to rerun the analysis.,Every external website or service referenced by the report will work offline.,
